"Fonctions"
"";"Direction générale"
"Direction générale - Directeur / Gérant";"- Directeur / Gérant"
"Direction générale - Assistant(e) de direction";"- Assistant(e) de direction"
"";"-------------------------------------------"
"";"Service achats / services généraux"
"Service achats / services généraux - Directeur / chef de service";"- Directeur / chef de service"
"Service achats / services généraux - Cadre / Employé(e)";"- Cadre / Employé(e)"
"Service achats / services généraux - Assistant(e)";"- Assistant(e)"
"Service achats / services généraux - Stagiaire";"- Stagiaire"
"";"-------------------------------------------"
"";"Service administratif et financier"
"Service administratif et financier - Directeur / chef de service";"- Directeur / chef de service"
"Service administratif et financier - Cadre / Employé(e)";"- Cadre / Employé(e)"
"Service administratif et financier - Assistant(e)";"- Assistant(e)"
"Service administratif et financier - Stagiaire";"- Stagiaire"
"";"-------------------------------------------"
"";"Service commercial"
"Service commercial - Directeur / chef de service";"- Directeur / chef de service"
"Service commercial - Cadre / Employé(e)";"- Cadre / Employé(e)"
"Service commercial - Assistant(e)";"- Assistant(e)"
"Service commercial - Stagiaire";"- Stagiaire"
"";"-------------------------------------------"
"";"Service communication / marketing"
"Service communication / marketing - Directeur / chef de service";"- Directeur / chef de service"
"Service communication / marketing - Cadre / Employé(e)";"- Cadre / Employé(e)"
"Service communication / marketing - Assistant(e)";"- Assistant(e)"
"Service communication / marketing - Stagiaire";"- Stagiaire"
"";"-------------------------------------------"
"";"Service informatique"
"Service informatique - Directeur / chef de service";"- Directeur / chef de service"
"Service informatique - Cadre / Employé(e)";"- Cadre / Employé(e)"
"Service informatique - Assistant(e)";"- Assistant(e)"
"Service informatique - Stagiaire";"- Stagiaire"
"";"-------------------------------------------"
"";"Service logistique / production"
"Service logistique / production - Directeur / chef de service";"- Directeur / chef de service"
"Service logistique / production - Cadre / Employé(e)";"- Cadre / Employé(e)"
"Service logistique / production - Assistant(e)";"- Assistant(e)"
"Service logistique / production - Stagiaire";"- Stagiaire"
"";"-------------------------------------------"
"";"Service maintenance / sécurité"
"Service maintenance / sécurité - Directeur / chef de service";"- Directeur / chef de service"
"Service maintenance / sécurité - Cadre / Employé(e)";"- Cadre / Employé(e)"
"Service maintenance / sécurité - Assistant(e)";"- Assistant(e)"
"Service maintenance / sécurité - Stagiaire";"- Stagiaire"
"";"-------------------------------------------"
"";"Service ressources humaines"
"Service ressources humaines - Directeur / chef de service";"- Directeur / chef de service"
"Service ressources humaines - Cadre / Employé(e)";"- Cadre / Employé(e)"
"Service ressources humaines - Assistant(e)";"- Assistant(e)"
"Service ressources humaines - Stagiaire";"- Stagiaire"
"";"-------------------------------------------"
"";"Autres services"
"Autres services - Directeur / chef de service";"- Directeur / chef de service"
"Autres services - Cadre / Employé(e)";"- Cadre / Employé(e)"
"Autres services - Assistant(e)";"- Assistant(e)"
"Autres services - Stagiaire";"- Stagiaire"
"";"-------------------------------------------"
"";"Administration"
"Administration - Elu";"- Elu"
"Administration - Chef de service";"- Chef de service"
"Administration - Fonctionnaire";"- Fonctionnaire"
"";"-------------------------------------------"
"Je suis trésorier / membre d'une association";"Je suis trésorier / membre d'une association"
"Je suis libéral";"Je suis libéral"
"Je suis un particulier";"Je suis un particulier"
